"","p4","p26","p3_1","p3_4","p8_1","p5","p32"
"582",0,20,2,2,0,0,0
"583",0,20,2,2,0,0,0
"584",0,0,2,2,0,0,5
"585",1,40,1,2,2,4,0
"586",0,20,2,2,0,0,0
"587",0,0,2,2,0,0,2
"588",0,0,2,2,0,0,3
"589",3,40,1,2,2,2,0
"590",0,0,2,2,0,0,3
"591",3,35,1,2,2,1,0
"592",0,30,2,2,0,0,0
"593",0,0,2,2,0,0,3
"594",3,30,1,2,1,1,0
"595",4,120,1,2,2,1,0
"596",0,60,2,2,0,0,0
"597",0,0,2,2,0,0,1
"598",0,10,2,2,0,0,0
"599",0,0,2,2,0,0,2
"600",0,0,0,0,0,0,0
"601",0,20,2,2,0,0,0
"602",0,0,2,2,0,0,5
"603",0,30,2,2,0,0,0
"604",0,0,2,2,0,0,3
"605",3,60,1,1,2,4,0
"606",2,90,1,2,2,4,0
"607",3,90,1,2,2,4,0
"608",3,60,1,2,2,4,0
"609",0,60,2,2,0,0,0
"610",0,45,2,2,0,0,0
"611",0,30,2,2,0,0,0
"612",1,20,1,2,2,4,0
"613",0,0,2,2,0,0,2
"614",0,0,2,2,0,0,1
"615",0,0,2,2,0,0,3
"616",0,0,2,2,0,0,3
"617",0,30,2,2,0,0,0
"618",0,0,2,2,0,0,5
"619",1,45,1,2,2,4,0
"620",5,60,1,2,2,1,0
"621",0,0,2,2,0,0,1
"622",0,20,2,2,0,0,0
"623",5,120,1,2,2,2,0
"624",1,30,1,2,2,4,0
"625",0,60,2,2,0,0,0
"626",0,0,2,2,0,0,1
"627",0,0,2,2,0,0,1
"628",0,10,2,2,0,0,0
"629",0,45,2,2,0,0,0
"630",0,0,2,2,0,0,4
"631",0,0,2,2,0,0,5
"632",3,30,1,2,1,1,0
"633",0,0,2,2,0,0,5
"634",2,30,1,2,2,4,0
"635",0,30,2,2,0,0,0
"636",0,45,2,2,0,0,0
"637",0,30,2,2,0,0,0
"638",3,30,1,2,1,3,0
"639",0,120,2,2,0,0,0
"640",0,0,2,2,0,0,2
"641",0,0,2,2,0,0,2
"642",0,0,2,2,0,0,1
"643",0,10,2,2,0,0,0
"644",9,30,1,1,2,4,0
"645",2,60,1,2,2,4,0
"646",0,0,2,2,0,0,5
"647",0,0,2,2,0,0,3
"648",0,0,2,2,0,0,3
"649",0,0,2,2,0,0,3
"650",0,45,2,2,0,0,0
"651",4,60,1,2,1,4,0
"652",5,45,1,1,1,1,0
"653",3,45,1,2,2,4,0
"654",0,45,2,2,0,0,0
"655",3,60,1,2,2,1,0
"656",0,0,2,2,0,0,3
"657",0,25,2,2,0,0,0
"658",0,0,2,2,0,0,2
"659",0,30,2,2,0,0,0
"660",0,0,2,2,0,0,5
"661",0,0,2,2,0,0,3
"662",0,20,2,2,0,0,0
"663",0,0,2,2,0,0,3
"664",5,120,1,2,1,2,0
"665",2,30,1,2,2,2,0
"666",0,30,2,2,0,0,0
"667",1,60,1,2,2,4,0
"668",0,0,2,2,0,0,2
"669",3,40,1,2,2,1,0
"670",2,60,1,2,2,1,0
"671",0,0,2,2,0,0,5
"672",10,120,1,2,2,2,0
"673",0,0,2,2,0,0,5
"674",0,20,2,2,0,0,0
"675",0,40,2,2,0,0,0
"676",3,90,1,2,2,4,0
"677",0,0,2,2,0,0,2
"678",0,30,2,1,0,0,0
"679",4,60,1,2,1,2,0
"680",0,0,2,2,0,0,1
"681",0,0,2,2,0,0,3
"682",2,45,1,2,2,4,0
"683",2,180,1,2,2,4,0
"684",0,60,2,2,0,0,0
"685",2,40,1,2,2,4,0
"686",0,0,2,2,0,0,3
"687",2,60,1,2,2,4,0
"688",0,0,2,2,0,0,3
"689",4,120,1,2,2,1,0
"690",9,180,1,2,1,2,0
"691",0,0,2,2,0,0,1
"692",1,60,1,2,2,4,0
"693",0,20,2,2,0,0,0
"694",0,0,2,2,0,0,3
"695",0,0,2,2,0,0,3
"696",99,60,1,2,1,3,0
"697",0,0,2,2,0,0,3
"698",0,0,2,2,0,0,1
"699",0,0,2,2,0,0,1
"700",0,0,0,0,0,0,0
"701",1,60,1,2,2,4,0
"702",0,30,2,2,0,0,0
"703",0,0,2,2,0,0,3
"704",0,0,2,2,0,0,1
"705",0,0,2,2,0,0,1
"706",0,0,2,2,0,0,3
"707",0,0,2,2,0,0,1
"708",0,0,2,2,0,0,5
"709",0,30,2,2,0,0,0
"710",0,0,2,2,0,0,1
"711",0,0,2,2,0,0,5
"712",2,60,1,2,2,1,0
"713",2,60,1,2,2,5,0
"714",0,30,2,2,0,0,0
"715",12,60,1,1,1,2,0
"716",3,20,1,2,1,4,0
"717",0,15,2,1,0,0,0
"718",0,0,2,2,0,0,3
"719",2,120,1,2,1,4,0
"720",5,60,1,2,1,3,0
"721",2,60,1,2,2,5,0
"722",0,0,0,0,0,0,0
"723",5,60,1,2,1,3,0
"724",0,0,0,0,0,0,0
"725",3,20,1,1,2,4,0
"726",15,30,1,2,1,4,0
"727",0,5,2,2,0,0,0
"728",2,60,1,2,2,3,0
"729",3,20,1,1,2,4,0
"730",0,0,0,0,0,0,0
"731",0,30,2,2,0,0,0
"732",0,60,2,2,0,0,0
"733",1,20,1,2,2,4,0
"734",1,20,1,2,2,4,0
"735",2,60,1,2,2,3,0
"736",2,60,1,2,2,1,0
"737",2,10,1,1,2,4,0
"738",3,60,1,2,2,3,0
"739",0,0,2,2,0,0,3
"740",14,44,1,1,2,1,0
"741",3,20,1,2,1,2,0
"742",4,30,1,2,2,3,0
"743",0,0,2,2,0,0,3
"744",2,60,1,1,2,4,0
"745",0,0,2,2,0,0,3
"746",2,30,1,2,2,2,0
"747",0,30,2,2,0,0,0
"748",0,30,2,2,0,0,0
"749",2,60,1,2,2,4,0
"750",2,30,1,2,1,4,0
"751",0,0,2,2,0,0,3
"752",6,120,1,2,2,1,0
"753",0,0,2,2,0,0,2
"754",0,60,2,2,0,0,0
"755",3,60,1,2,2,4,0
"756",0,60,2,2,0,0,0
"757",0,0,2,2,0,0,3
"758",1,30,1,2,2,3,0
"759",0,0,2,2,0,0,1
"760",1,30,1,2,1,4,0
"761",0,0,2,2,0,0,3
"762",1,60,1,2,2,3,0
"763",30,120,1,2,2,4,0
"764",8,40,1,2,2,3,0
"765",1,60,1,2,2,5,0
"766",0,0,2,2,0,0,2
"767",0,30,2,2,0,0,0
"768",3,15,1,2,2,3,0
"769",0,0,2,2,0,0,1
"770",0,0,2,2,0,0,3
"771",0,0,2,2,0,0,3
"772",0,0,2,2,0,0,3
"773",0,0,2,2,0,0,1
"774",0,0,2,2,0,0,1
"775",0,2,2,2,0,0,0
"776",1,90,1,2,2,5,0
"777",0,2,2,2,0,0,0
"778",0,30,2,1,0,0,0
"779",15,180,1,2,1,4,0
"780",2,15,1,2,2,4,0
"781",0,120,2,1,0,0,0
"782",0,0,2,2,0,0,1
"783",2,20,1,2,2,4,0
"784",0,20,2,2,0,0,0
"785",2,25,1,2,2,4,0
"786",0,60,2,2,0,0,0
"787",2,60,1,2,2,4,0
"788",0,0,2,2,0,0,1
"789",1,30,1,2,2,4,0
"790",1,25,1,2,2,3,0
"791",1,15,1,2,2,3,0
"792",0,0,2,2,0,0,1
"793",0,30,2,2,0,0,0
"794",3,30,1,2,2,6,0
"795",0,10,2,2,0,0,0
"796",3,35,1,2,2,3,0
"797",0,0,2,2,0,0,1
"798",0,10,2,2,0,0,0
"799",0,60,2,2,0,0,0
"800",0,45,2,2,0,0,0
"801",2,20,1,2,1,2,0
"802",0,30,2,2,0,0,0
"803",0,30,2,2,0,0,0
"804",4,15,1,2,2,3,0
"805",0,0,2,2,0,0,3
"806",2,60,1,1,2,4,0
"807",0,0,2,2,0,0,1
"808",1,15,1,2,2,3,0
"809",0,20,2,2,0,0,0
"810",0,30,2,2,0,0,0
"811",2,30,1,2,2,4,0
"812",3,15,1,1,2,4,0
